,Single Year of Age,Administrative Counties,VALUE
317,8 years,Cavan County Council,1217
318,8 years,Donegal County Council,2319
319,8 years,Monaghan County Council,991
320,9 years,Ireland,72196
321,9 years,Carlow County Council,882
322,9 years,Dublin City Council,5970
323,9 years,Dún Laoghaire Rathdown County Council,3004
324,9 years,Fingal County Council,5400
325,9 years,South Dublin County Council,4522
326,9 years,Kildare County Council,3832
327,9 years,Kilkenny County Council,1529
328,9 years,Laois County Council,1435
329,9 years,Longford County Council,746
330,9 years,Louth County Council,2124
331,9 years,Meath County Council,3637
332,9 years,Offaly County Council,1210
333,9 years,Westmeath County Council,1454
334,9 years,Wexford County Council,2354
335,9 years,Wicklow County Council,2364
336,9 years,Clare County Council,1806
337,9 years,Cork City Council,2617
338,9 years,Cork County Council,5501
339,9 years,Kerry County Council,2071
340,9 years,Limerick City & County Council,2825
341,9 years,Tipperary County Council,2267
342,9 years,Waterford City & County Council,1727
343,9 years,Galway City Council,942
344,9 years,Galway County Council,2890
345,9 years,Leitrim County Council,542
346,9 years,Mayo  County Council,1886
347,9 years,Roscommon County Council,1029
348,9 years,Sligo County Council,960
349,9 years,Cavan County Council,1289
350,9 years,Donegal County Council,2391
351,9 years,Monaghan County Council,990
352,10 years,Ireland,74101
353,10 years,Carlow County Council,921
354,10 years,Dublin City Council,6174
355,10 years,Dún Laoghaire Rathdown County Council,3035
356,10 years,Fingal County Council,5674
357,10 years,South Dublin County Council,4797
358,10 years,Kildare County Council,3875
359,10 years,Kilkenny County Council,1618
360,10 years,Laois County Council,1562
361,10 years,Longford County Council,728
362,10 years,Louth County Council,2125
363,10 years,Meath County Council,3756
364,10 years,Offaly County Council,1293
365,10 years,Westmeath County Council,1405
366,10 years,Wexford County Council,2373
367,10 years,Wicklow County Council,2322
368,10 years,Clare County Council,1874
369,10 years,Cork City Council,2580
370,10 years,Cork County Council,5652
371,10 years,Kerry County Council,2066
372,10 years,Limerick City & County Council,2868
373,10 years,Tipperary County Council,2475
374,10 years,Waterford City & County Council,1775
375,10 years,Galway City Council,888
376,10 years,Galway County Council,2974
377,10 years,Leitrim County Council,502
378,10 years,Mayo  County Council,1907
379,10 years,Roscommon County Council,1008
380,10 years,Sligo County Council,1018
381,10 years,Cavan County Council,1312
382,10 years,Donegal County Council,2510
383,10 years,Monaghan County Council,1034
384,11 years,Ireland,75159
385,11 years,Carlow County Council,964
386,11 years,Dublin City Council,6056
387,11 years,Dún Laoghaire Rathdown County Council,3020
388,11 years,Fingal County Council,5467
389,11 years,South Dublin County Council,4732
390,11 years,Kildare County Council,4081
391,11 years,Kilkenny County Council,1609
392,11 years,Laois County Council,1553
393,11 years,Longford County Council,734
394,11 years,Louth County Council,2186
395,11 years,Meath County Council,3898
396,11 years,Offaly County Council,1267
397,11 years,Westmeath County Council,1484
398,11 years,Wexford County Council,2410
399,11 years,Wicklow County Council,2539
400,11 years,Clare County Council,1821
401,11 years,Cork City Council,2695
402,11 years,Cork County Council,5852
403,11 years,Kerry County Council,2116
404,11 years,Limerick City & County Council,2979
405,11 years,Tipperary County Council,2431
406,11 years,Waterford City & County Council,1877
407,11 years,Galway City Council,971
408,11 years,Galway County Council,2978
409,11 years,Leitrim County Council,531
410,11 years,Mayo  County Council,1975
411,11 years,Roscommon County Council,1058
412,11 years,Sligo County Council,956
413,11 years,Cavan County Council,1328
414,11 years,Donegal County Council,2584
415,11 years,Monaghan County Council,1007
416,12 years,Ireland,76254
417,12 years,Carlow County Council,908
418,12 years,Dublin City Council,6284
419,12 years,Dún Laoghaire Rathdown County Council,2991
420,12 years,Fingal County Council,5792
421,12 years,South Dublin County Council,4855
422,12 years,Kildare County Council,4041
423,12 years,Kilkenny County Council,1600
424,12 years,Laois County Council,1625
425,12 years,Longford County Council,731
426,12 years,Louth County Council,2211
427,12 years,Meath County Council,3876
428,12 years,Offaly County Council,1300
429,12 years,Westmeath County Council,1466
430,12 years,Wexford County Council,2443
431,12 years,Wicklow County Council,2525
432,12 years,Clare County Council,1983
433,12 years,Cork City Council,2690
434,12 years,Cork County Council,5901
435,12 years,Kerry County Council,2255
436,12 years,Limerick City & County Council,2883
437,12 years,Tipperary County Council,2571
438,12 years,Waterford City & County Council,1933
439,12 years,Galway City Council,881
440,12 years,Galway County Council,2943
441,12 years,Leitrim County Council,532
442,12 years,Mayo  County Council,1962
443,12 years,Roscommon County Council,1047
444,12 years,Sligo County Council,1027
445,12 years,Cavan County Council,1317
446,12 years,Donegal County Council,2624
447,12 years,Monaghan County Council,1057
448,13 years,Ireland,75256
449,13 years,Carlow County Council,943
