,Single Year of Age,Administrative Counties,VALUE
1620,49 years,Limerick City & County Council,2923
1621,49 years,Tipperary County Council,2505
1622,49 years,Waterford City & County Council,1826
1623,49 years,Galway City Council,1018
1624,49 years,Galway County Council,2967
1625,49 years,Leitrim County Council,492
1626,49 years,Mayo  County Council,1885
1627,49 years,Roscommon County Council,957
1628,49 years,Sligo County Council,981
1629,49 years,Cavan County Council,1093
1630,49 years,Donegal County Council,2397
1631,49 years,Monaghan County Council,911
1632,50 years,Ireland,72249
1633,50 years,Carlow County Council,897
1634,50 years,Dublin City Council,7474
1635,50 years,Dún Laoghaire Rathdown County Council,3101
1636,50 years,Fingal County Council,4904
1637,50 years,South Dublin County Council,3895
1638,50 years,Kildare County Council,3778
1639,50 years,Kilkenny County Council,1503
1640,50 years,Laois County Council,1339
1641,50 years,Longford County Council,621
1642,50 years,Louth County Council,2093
1643,50 years,Meath County Council,3410
1644,50 years,Offaly County Council,1183
1645,50 years,Westmeath County Council,1329
1646,50 years,Wexford County Council,2437
1647,50 years,Wicklow County Council,2335
1648,50 years,Clare County Council,1979
1649,50 years,Cork City Council,2894
1650,50 years,Cork County Council,5363
1651,50 years,Kerry County Council,2261
1652,50 years,Limerick City & County Council,2867
1653,50 years,Tipperary County Council,2305
1654,50 years,Waterford City & County Council,1754
1655,50 years,Galway City Council,975
1656,50 years,Galway County Council,2826
1657,50 years,Leitrim County Council,504
1658,50 years,Mayo  County Council,1893
1659,50 years,Roscommon County Council,990
1660,50 years,Sligo County Council,911
1661,50 years,Cavan County Council,1160
1662,50 years,Donegal County Council,2389
1663,50 years,Monaghan County Council,879
1664,51 years,Ireland,69951
1665,51 years,Carlow County Council,815
1666,51 years,Dublin City Council,7151
1667,51 years,Dún Laoghaire Rathdown County Council,2983
1668,51 years,Fingal County Council,4566
1669,51 years,South Dublin County Council,3834
1670,51 years,Kildare County Council,3539
1671,51 years,Kilkenny County Council,1432
1672,51 years,Laois County Council,1294
1673,51 years,Longford County Council,658
1674,51 years,Louth County Council,2028
1675,51 years,Meath County Council,3182
1676,51 years,Offaly County Council,1130
1677,51 years,Westmeath County Council,1321
1678,51 years,Wexford County Council,2342
1679,51 years,Wicklow County Council,2342
1680,51 years,Clare County Council,1827
1681,51 years,Cork City Council,2760
1682,51 years,Cork County Council,5266
1683,51 years,Kerry County Council,2195
1684,51 years,Limerick City & County Council,2803
1685,51 years,Tipperary County Council,2351
1686,51 years,Waterford City & County Council,1776
1687,51 years,Galway City Council,997
1688,51 years,Galway County Council,2845
1689,51 years,Leitrim County Council,485
1690,51 years,Mayo  County Council,1888
1691,51 years,Roscommon County Council,956
1692,51 years,Sligo County Council,935
1693,51 years,Cavan County Council,1117
1694,51 years,Donegal County Council,2301
1695,51 years,Monaghan County Council,832
1696,52 years,Ireland,68770
1697,52 years,Carlow County Council,823
1698,52 years,Dublin City Council,7116
1699,52 years,Dún Laoghaire Rathdown County Council,2933
1700,52 years,Fingal County Council,4300
1701,52 years,South Dublin County Council,3698
1702,52 years,Kildare County Council,3425
1703,52 years,Kilkenny County Council,1409
1704,52 years,Laois County Council,1268
1705,52 years,Longford County Council,624
1706,52 years,Louth County Council,1965
1707,52 years,Meath County Council,3104
1708,52 years,Offaly County Council,1100
1709,52 years,Westmeath County Council,1308
1710,52 years,Wexford County Council,2335
1711,52 years,Wicklow County Council,2254
1712,52 years,Clare County Council,1895
1713,52 years,Cork City Council,2732
1714,52 years,Cork County Council,5071
1715,52 years,Kerry County Council,2306
1716,52 years,Limerick City & County Council,2795
1717,52 years,Tipperary County Council,2277
1718,52 years,Waterford City & County Council,1707
1719,52 years,Galway City Council,918
1720,52 years,Galway County Council,2729
1721,52 years,Leitrim County Council,506
1722,52 years,Mayo  County Council,1921
1723,52 years,Roscommon County Council,991
1724,52 years,Sligo County Council,942
1725,52 years,Cavan County Council,1110
1726,52 years,Donegal County Council,2352
1727,52 years,Monaghan County Council,856
1728,53 years,Ireland,64815
1729,53 years,Carlow County Council,785
1730,53 years,Dublin City Council,6622
1731,53 years,Dún Laoghaire Rathdown County Council,2826
1732,53 years,Fingal County Council,4029
1733,53 years,South Dublin County Council,3463
1734,53 years,Kildare County Council,3217
1735,53 years,Kilkenny County Council,1419
1736,53 years,Laois County Council,1162
1737,53 years,Longford County Council,600
1738,53 years,Louth County Council,1878
1739,53 years,Meath County Council,2879
1740,53 years,Offaly County Council,1067
1741,53 years,Westmeath County Council,1272
1742,53 years,Wexford County Council,2185
1743,53 years,Wicklow County Council,2020
1744,53 years,Clare County Council,1743
1745,53 years,Cork City Council,2525
1746,53 years,Cork County Council,4833
1747,53 years,Kerry County Council,2167
1748,53 years,Limerick City & County Council,2491
1749,53 years,Tipperary County Council,2200
1750,53 years,Waterford City & County Council,1696
1751,53 years,Galway City Council,903
1752,53 years,Galway County Council,2592
1753,53 years,Leitrim County Council,477
1754,53 years,Mayo  County Council,1848
1755,53 years,Roscommon County Council,909
1756,53 years,Sligo County Council,862
1757,53 years,Cavan County Council,1044
1758,53 years,Donegal County Council,2284
1759,53 years,Monaghan County Council,817
1760,54 years,Ireland,64218
1761,54 years,Carlow County Council,805
1762,54 years,Dublin City Council,6752
1763,54 years,Dún Laoghaire Rathdown County Council,2788
1764,54 years,Fingal County Council,3818
1765,54 years,South Dublin County Council,3334
1766,54 years,Kildare County Council,3132
1767,54 years,Kilkenny County Council,1330
1768,54 years,Laois County Council,1145
1769,54 years,Longford County Council,602
1770,54 years,Louth County Council,1830
1771,54 years,Meath County Council,2846
1772,54 years,Offaly County Council,1101
1773,54 years,Westmeath County Council,1223
1774,54 years,Wexford County Council,2165
1775,54 years,Wicklow County Council,1976
1776,54 years,Clare County Council,1770
1777,54 years,Cork City Council,2606
1778,54 years,Cork County Council,4708
1779,54 years,Kerry County Council,2105
1780,54 years,Limerick City & County Council,2560
1781,54 years,Tipperary County Council,2253
1782,54 years,Waterford City & County Council,1611
1783,54 years,Galway City Council,871
1784,54 years,Galway County Council,2607
1785,54 years,Leitrim County Council,490
1786,54 years,Mayo  County Council,1789
1787,54 years,Roscommon County Council,886
1788,54 years,Sligo County Council,935
1789,54 years,Cavan County Council,1053
1790,54 years,Donegal County Council,2309
1791,54 years,Monaghan County Council,818
1792,55 years,Ireland,62916
1793,55 years,Carlow County Council,804
1794,55 years,Dublin City Council,6208
1795,55 years,Dún Laoghaire Rathdown County Council,2883
1796,55 years,Fingal County Council,3660
1797,55 years,South Dublin County Council,3254
1798,55 years,Kildare County Council,3042
1799,55 years,Kilkenny County Council,1377
1800,55 years,Laois County Council,1153
1801,55 years,Longford County Council,590
1802,55 years,Louth County Council,1687
1803,55 years,Meath County Council,2690
1804,55 years,Offaly County Council,1013
1805,55 years,Westmeath County Council,1199
1806,55 years,Wexford County Council,2228
1807,55 years,Wicklow County Council,1994
1808,55 years,Clare County Council,1758
1809,55 years,Cork City Council,2549
1810,55 years,Cork County Council,4684
1811,55 years,Kerry County Council,2052
1812,55 years,Limerick City & County Council,2508
1813,55 years,Tipperary County Council,2248
1814,55 years,Waterford City & County Council,1686
1815,55 years,Galway City Council,879
1816,55 years,Galway County Council,2540
1817,55 years,Leitrim County Council,475
1818,55 years,Mayo  County Council,1841
1819,55 years,Roscommon County Council,965
1820,55 years,Sligo County Council,912
1821,55 years,Cavan County Council,1053
1822,55 years,Donegal County Council,2208
1823,55 years,Monaghan County Council,776
1824,56 years,Ireland,61963
1825,56 years,Carlow County Council,795
1826,56 years,Dublin City Council,6376
1827,56 years,Dún Laoghaire Rathdown County Council,2691
1828,56 years,Fingal County Council,3500
1829,56 years,South Dublin County Council,3031
1830,56 years,Kildare County Council,2987
1831,56 years,Kilkenny County Council,1353
1832,56 years,Laois County Council,1093
1833,56 years,Longford County Council,539
1834,56 years,Louth County Council,1752
1835,56 years,Meath County Council,2619
1836,56 years,Offaly County Council,1065
1837,56 years,Westmeath County Council,1130
1838,56 years,Wexford County Council,2094
1839,56 years,Wicklow County Council,2002
1840,56 years,Clare County Council,1739
1841,56 years,Cork City Council,2620
1842,56 years,Cork County Council,4709
1843,56 years,Kerry County Council,2138
1844,56 years,Limerick City & County Council,2445
1845,56 years,Tipperary County Council,2183
1846,56 years,Waterford City & County Council,1649
1847,56 years,Galway City Council,883
1848,56 years,Galway County Council,2448
1849,56 years,Leitrim County Council,457
1850,56 years,Mayo  County Council,1858
1851,56 years,Roscommon County Council,913
1852,56 years,Sligo County Council,888
1853,56 years,Cavan County Council,1038
1854,56 years,Donegal County Council,2198
1855,56 years,Monaghan County Council,770
1856,57 years,Ireland,62655
1857,57 years,Carlow County Council,740
1858,57 years,Dublin City Council,6439
1859,57 years,Dún Laoghaire Rathdown County Council,2795
1860,57 years,Fingal County Council,3445
1861,57 years,South Dublin County Council,3246
1862,57 years,Kildare County Council,2934
1863,57 years,Kilkenny County Council,1375
1864,57 years,Laois County Council,1054
1865,57 years,Longford County Council,570
1866,57 years,Louth County Council,1676
1867,57 years,Meath County Council,2716
1868,57 years,Offaly County Council,1060
1869,57 years,Westmeath County Council,1231
1870,57 years,Wexford County Council,2258
1871,57 years,Wicklow County Council,2111
1872,57 years,Clare County Council,1648
1873,57 years,Cork City Council,2648
1874,57 years,Cork County Council,4643
1875,57 years,Kerry County Council,2112
1876,57 years,Limerick City & County Council,2548
1877,57 years,Tipperary County Council,2233
1878,57 years,Waterford City & County Council,1664
1879,57 years,Galway City Council,863
1880,57 years,Galway County Council,2506
1881,57 years,Leitrim County Council,476
1882,57 years,Mayo  County Council,1894
1883,57 years,Roscommon County Council,887
1884,57 years,Sligo County Council,868
1885,57 years,Cavan County Council,991
1886,57 years,Donegal County Council,2226
1887,57 years,Monaghan County Council,798
1888,58 years,Ireland,60435
1889,58 years,Carlow County Council,724
1890,58 years,Dublin City Council,6309
1891,58 years,Dún Laoghaire Rathdown County Council,2756
1892,58 years,Fingal County Council,3305
1893,58 years,South Dublin County Council,3089
1894,58 years,Kildare County Council,2756
1895,58 years,Kilkenny County Council,1268
1896,58 years,Laois County Council,1070
1897,58 years,Longford County Council,509
1898,58 years,Louth County Council,1636
1899,58 years,Meath County Council,2440
1900,58 years,Offaly County Council,1044
1901,58 years,Westmeath County Council,1153
1902,58 years,Wexford County Council,2138
1903,58 years,Wicklow County Council,1898
1904,58 years,Clare County Council,1689
1905,58 years,Cork City Council,2686
1906,58 years,Cork County Council,4406
1907,58 years,Kerry County Council,2053
1908,58 years,Limerick City & County Council,2428
1909,58 years,Tipperary County Council,2195
1910,58 years,Waterford City & County Council,1628
1911,58 years,Galway City Council,767
1912,58 years,Galway County Council,2394
1913,58 years,Leitrim County Council,471
1914,58 years,Mayo  County Council,1849
1915,58 years,Roscommon County Council,960
1916,58 years,Sligo County Council,944
1917,58 years,Cavan County Council,964
1918,58 years,Donegal County Council,2133
1919,58 years,Monaghan County Council,773
1920,59 years,Ireland,59196
1921,59 years,Carlow County Council,743
1922,59 years,Dublin City Council,6245
1923,59 years,Dún Laoghaire Rathdown County Council,2784
1924,59 years,Fingal County Council,3262
1925,59 years,South Dublin County Council,3057
1926,59 years,Kildare County Council,2581
1927,59 years,Kilkenny County Council,1310
1928,59 years,Laois County Council,967
1929,59 years,Longford County Council,535
1930,59 years,Louth County Council,1582
1931,59 years,Meath County Council,2346
1932,59 years,Offaly County Council,956
1933,59 years,Westmeath County Council,1167
1934,59 years,Wexford County Council,2052
1935,59 years,Wicklow County Council,1922
1936,59 years,Clare County Council,1620
1937,59 years,Cork City Council,2639
1938,59 years,Cork County Council,4275
1939,59 years,Kerry County Council,2054
1940,59 years,Limerick City & County Council,2399
1941,59 years,Tipperary County Council,2198
1942,59 years,Waterford City & County Council,1655
1943,59 years,Galway City Council,775
1944,59 years,Galway County Council,2308
1945,59 years,Leitrim County Council,426
1946,59 years,Mayo  County Council,1786
1947,59 years,Roscommon County Council,897
1948,59 years,Sligo County Council,905
1949,59 years,Cavan County Council,995
1950,59 years,Donegal County Council,1981
1951,59 years,Monaghan County Council,774
1952,60 years,Ireland,57518
1953,60 years,Carlow County Council,673
1954,60 years,Dublin City Council,6026
1955,60 years,Dún Laoghaire Rathdown County Council,2658
1956,60 years,Fingal County Council,3093
1957,60 years,South Dublin County Council,2982
1958,60 years,Kildare County Council,2511
1959,60 years,Kilkenny County Council,1237
1960,60 years,Laois County Council,965
1961,60 years,Longford County Council,528
1962,60 years,Louth County Council,1499
1963,60 years,Meath County Council,2232
1964,60 years,Offaly County Council,982
1965,60 years,Westmeath County Council,1087
1966,60 years,Wexford County Council,2050
1967,60 years,Wicklow County Council,1974
1968,60 years,Clare County Council,1540
1969,60 years,Cork City Council,2604
1970,60 years,Cork County Council,4086
1971,60 years,Kerry County Council,2056
1972,60 years,Limerick City & County Council,2390
1973,60 years,Tipperary County Council,2053
1974,60 years,Waterford City & County Council,1579
1975,60 years,Galway City Council,760
1976,60 years,Galway County Council,2272
1977,60 years,Leitrim County Council,401
1978,60 years,Mayo  County Council,1772
1979,60 years,Roscommon County Council,893
1980,60 years,Sligo County Council,862
1981,60 years,Cavan County Council,946
1982,60 years,Donegal County Council,2055
1983,60 years,Monaghan County Council,752
1984,61 years,Ireland,56705
1985,61 years,Carlow County Council,684
1986,61 years,Dublin City Council,5804
1987,61 years,Dún Laoghaire Rathdown County Council,2534
1988,61 years,Fingal County Council,3027
1989,61 years,South Dublin County Council,2980
1990,61 years,Kildare County Council,2494
1991,61 years,Kilkenny County Council,1260
1992,61 years,Laois County Council,1005
1993,61 years,Longford County Council,524
1994,61 years,Louth County Council,1542
1995,61 years,Meath County Council,2213
1996,61 years,Offaly County Council,1025
1997,61 years,Westmeath County Council,1065
1998,61 years,Wexford County Council,2064
1999,61 years,Wicklow County Council,1779
2000,61 years,Clare County Council,1493
2001,61 years,Cork City Council,2466
2002,61 years,Cork County Council,4157
2003,61 years,Kerry County Council,1963
2004,61 years,Limerick City & County Council,2291
2005,61 years,Tipperary County Council,2127
2006,61 years,Waterford City & County Council,1487
2007,61 years,Galway City Council,780
2008,61 years,Galway County Council,2317
2009,61 years,Leitrim County Council,436
2010,61 years,Mayo  County Council,1735
2011,61 years,Roscommon County Council,910
2012,61 years,Sligo County Council,910
2013,61 years,Cavan County Council,925
2014,61 years,Donegal County Council,1941
2015,61 years,Monaghan County Council,767
2016,62 years,Ireland,55015
2017,62 years,Carlow County Council,713
2018,62 years,Dublin City Council,5647
2019,62 years,Dún Laoghaire Rathdown County Council,2470
2020,62 years,Fingal County Council,2939
2021,62 years,South Dublin County Council,2869
2022,62 years,Kildare County Council,2282
2023,62 years,Kilkenny County Council,1283
2024,62 years,Laois County Council,922
2025,62 years,Longford County Council,499
2026,62 years,Louth County Council,1413
2027,62 years,Meath County Council,2090
2028,62 years,Offaly County Council,974
2029,62 years,Westmeath County Council,1051
2030,62 years,Wexford County Council,1936
2031,62 years,Wicklow County Council,1709
2032,62 years,Clare County Council,1492
2033,62 years,Cork City Council,2364
2034,62 years,Cork County Council,3964
2035,62 years,Kerry County Council,2010
2036,62 years,Limerick City & County Council,2311
2037,62 years,Tipperary County Council,1945
2038,62 years,Waterford City & County Council,1495
2039,62 years,Galway City Council,739
2040,62 years,Galway County Council,2208
2041,62 years,Leitrim County Council,425
2042,62 years,Mayo  County Council,1825
2043,62 years,Roscommon County Council,848
2044,62 years,Sligo County Council,944
2045,62 years,Cavan County Council,918
2046,62 years,Donegal County Council,1977
2047,62 years,Monaghan County Council,753
2048,63 years,Ireland,52196
2049,63 years,Carlow County Council,642
2050,63 years,Dublin City Council,5268
2051,63 years,Dún Laoghaire Rathdown County Council,2369
2052,63 years,Fingal County Council,2725
2053,63 years,South Dublin County Council,2761
2054,63 years,Kildare County Council,2236
2055,63 years,Kilkenny County Council,1142
2056,63 years,Laois County Council,914
2057,63 years,Longford County Council,463
2058,63 years,Louth County Council,1318
2059,63 years,Meath County Council,1959
2060,63 years,Offaly County Council,875
2061,63 years,Westmeath County Council,984
2062,63 years,Wexford County Council,1847
2063,63 years,Wicklow County Council,1636
2064,63 years,Clare County Council,1576
2065,63 years,Cork City Council,2259
2066,63 years,Cork County Council,3746
2067,63 years,Kerry County Council,1972
2068,63 years,Limerick City & County Council,2195
2069,63 years,Tipperary County Council,1869
2070,63 years,Waterford City & County Council,1393
2071,63 years,Galway City Council,708
2072,63 years,Galway County Council,2087
2073,63 years,Leitrim County Council,439
2074,63 years,Mayo  County Council,1762
2075,63 years,Roscommon County Council,851
2076,63 years,Sligo County Council,799
2077,63 years,Cavan County Council,826
2078,63 years,Donegal County Council,1908
2079,63 years,Monaghan County Council,667
2080,64 years,Ireland,51236
2081,64 years,Carlow County Council,610
2082,64 years,Dublin City Council,5080
2083,64 years,Dún Laoghaire Rathdown County Council,2304
2084,64 years,Fingal County Council,2551
2085,64 years,South Dublin County Council,2722
2086,64 years,Kildare County Council,2115
2087,64 years,Kilkenny County Council,1151
2088,64 years,Laois County Council,869
2089,64 years,Longford County Council,446
2090,64 years,Louth County Council,1308
2091,64 years,Meath County Council,1870
2092,64 years,Offaly County Council,811
2093,64 years,Westmeath County Council,981
2094,64 years,Wexford County Council,1789
2095,64 years,Wicklow County Council,1602
2096,64 years,Clare County Council,1431
2097,64 years,Cork City Council,2216
2098,64 years,Cork County Council,3690
2099,64 years,Kerry County Council,1954
2100,64 years,Limerick City & County Council,2241
2101,64 years,Tipperary County Council,1971
2102,64 years,Waterford City & County Council,1335
2103,64 years,Galway City Council,694
2104,64 years,Galway County Council,2171
2105,64 years,Leitrim County Council,417
2106,64 years,Mayo  County Council,1808
2107,64 years,Roscommon County Council,884
2108,64 years,Sligo County Council,839
2109,64 years,Cavan County Council,842
2110,64 years,Donegal County Council,1819
2111,64 years,Monaghan County Council,715
2112,65 years,Ireland,50083
2113,65 years,Carlow County Council,628
2114,65 years,Dublin City Council,5001
2115,65 years,Dún Laoghaire Rathdown County Council,2259
2116,65 years,Fingal County Council,2556
2117,65 years,South Dublin County Council,2647
2118,65 years,Kildare County Council,2113
2119,65 years,Kilkenny County Council,1054
2120,65 years,Laois County Council,877
2121,65 years,Longford County Council,475
2122,65 years,Louth County Council,1305
2123,65 years,Meath County Council,1809
2124,65 years,Offaly County Council,870
2125,65 years,Westmeath County Council,990
2126,65 years,Wexford County Council,1745
2127,65 years,Wicklow County Council,1512
2128,65 years,Clare County Council,1341
2129,65 years,Cork City Council,2125
2130,65 years,Cork County Council,3555
2131,65 years,Kerry County Council,1901
2132,65 years,Limerick City & County Council,2140
2133,65 years,Tipperary County Council,1875
2134,65 years,Waterford City & County Council,1331
2135,65 years,Galway City Council,686
2136,65 years,Galway County Council,2094
2137,65 years,Leitrim County Council,438
2138,65 years,Mayo  County Council,1709
2139,65 years,Roscommon County Council,827
2140,65 years,Sligo County Council,843
2141,65 years,Cavan County Council,863
2142,65 years,Donegal County Council,1826
2143,65 years,Monaghan County Council,688
2144,66 years,Ireland,48421
2145,66 years,Carlow County Council,569
2146,66 years,Dublin City Council,4694
2147,66 years,Dún Laoghaire Rathdown County Council,2193
2148,66 years,Fingal County Council,2390
2149,66 years,South Dublin County Council,2639
2150,66 years,Kildare County Council,2033
2151,66 years,Kilkenny County Council,1056
2152,66 years,Laois County Council,793
2153,66 years,Longford County Council,437
2154,66 years,Louth County Council,1263
2155,66 years,Meath County Council,1786
2156,66 years,Offaly County Council,849
2157,66 years,Westmeath County Council,936
2158,66 years,Wexford County Council,1661
2159,66 years,Wicklow County Council,1534
2160,66 years,Clare County Council,1351
2161,66 years,Cork City Council,1960
2162,66 years,Cork County Council,3560
2163,66 years,Kerry County Council,1826
2164,66 years,Limerick City & County Council,2142
2165,66 years,Tipperary County Council,1834
2166,66 years,Waterford City & County Council,1271
2167,66 years,Galway City Council,629
2168,66 years,Galway County Council,2059
2169,66 years,Leitrim County Council,411
2170,66 years,Mayo  County Council,1720
2171,66 years,Roscommon County Council,823
2172,66 years,Sligo County Council,769
2173,66 years,Cavan County Council,807
2174,66 years,Donegal County Council,1775
2175,66 years,Monaghan County Council,651
2176,67 years,Ireland,48151
2177,67 years,Carlow County Council,562
2178,67 years,Dublin City Council,4593
2179,67 years,Dún Laoghaire Rathdown County Council,2132
2180,67 years,Fingal County Council,2312
2181,67 years,South Dublin County Council,2631
2182,67 years,Kildare County Council,2126
2183,67 years,Kilkenny County Council,1070
2184,67 years,Laois County Council,781
2185,67 years,Longford County Council,442
2186,67 years,Louth County Council,1236
2187,67 years,Meath County Council,1828
2188,67 years,Offaly County Council,795
2189,67 years,Westmeath County Council,931
2190,67 years,Wexford County Council,1741
2191,67 years,Wicklow County Council,1488
2192,67 years,Clare County Council,1361
2193,67 years,Cork City Council,1928
2194,67 years,Cork County Council,3466
2195,67 years,Kerry County Council,1889
2196,67 years,Limerick City & County Council,2041
2197,67 years,Tipperary County Council,1804
2198,67 years,Waterford City & County Council,1348
2199,67 years,Galway City Council,642
2200,67 years,Galway County Council,2018
2201,67 years,Leitrim County Council,422
2202,67 years,Mayo  County Council,1708
2203,67 years,Roscommon County Council,833
2204,67 years,Sligo County Council,776
2205,67 years,Cavan County Council,793
2206,67 years,Donegal County Council,1816
2207,67 years,Monaghan County Council,638
2208,68 years,Ireland,45520
2209,68 years,Carlow County Council,565
2210,68 years,Dublin City Council,4204
2211,68 years,Dún Laoghaire Rathdown County Council,2082
2212,68 years,Fingal County Council,2290
2213,68 years,South Dublin County Council,2495
2214,68 years,Kildare County Council,1861
2215,68 years,Kilkenny County Council,1045
2216,68 years,Laois County Council,749
2217,68 years,Longford County Council,448
2218,68 years,Louth County Council,1169
2219,68 years,Meath County Council,1685
2220,68 years,Offaly County Council,736
2221,68 years,Westmeath County Council,859
2222,68 years,Wexford County Council,1642
2223,68 years,Wicklow County Council,1368
2224,68 years,Clare County Council,1285
2225,68 years,Cork City Council,1830
2226,68 years,Cork County Council,3418
2227,68 years,Kerry County Council,1721
2228,68 years,Limerick City & County Council,1929
2229,68 years,Tipperary County Council,1738
2230,68 years,Waterford City & County Council,1203
2231,68 years,Galway City Council,653
2232,68 years,Galway County Council,1851
2233,68 years,Leitrim County Council,415
2234,68 years,Mayo  County Council,1602
2235,68 years,Roscommon County Council,794
2236,68 years,Sligo County Council,767
2237,68 years,Cavan County Council,774
2238,68 years,Donegal County Council,1711
2239,68 years,Monaghan County Council,631
2240,69 years,Ireland,45969
2241,69 years,Carlow County Council,587
2242,69 years,Dublin City Council,4391
2243,69 years,Dún Laoghaire Rathdown County Council,2076
2244,69 years,Fingal County Council,2320
2245,69 years,South Dublin County Council,2570
2246,69 years,Kildare County Council,1930
2247,69 years,Kilkenny County Council,1013
2248,69 years,Laois County Council,759
2249,69 years,Longford County Council,433
2250,69 years,Louth County Council,1105
2251,69 years,Meath County Council,1624
2252,69 years,Offaly County Council,763
2253,69 years,Westmeath County Council,872
2254,69 years,Wexford County Council,1628
2255,69 years,Wicklow County Council,1375
2256,69 years,Clare County Council,1289
2257,69 years,Cork City Council,1871
2258,69 years,Cork County Council,3437
2259,69 years,Kerry County Council,1762
2260,69 years,Limerick City & County Council,2050
2261,69 years,Tipperary County Council,1723
2262,69 years,Waterford City & County Council,1194
2263,69 years,Galway City Council,678
2264,69 years,Galway County Council,1931
2265,69 years,Leitrim County Council,403
2266,69 years,Mayo  County Council,1562
2267,69 years,Roscommon County Council,758
2268,69 years,Sligo County Council,774
2269,69 years,Cavan County Council,722
2270,69 years,Donegal County Council,1752
2271,69 years,Monaghan County Council,617
2272,70 years,Ireland,43150
2273,70 years,Carlow County Council,522
2274,70 years,Dublin City Council,4105
2275,70 years,Dún Laoghaire Rathdown County Council,1979
2276,70 years,Fingal County Council,2171
2277,70 years,South Dublin County Council,2475
2278,70 years,Kildare County Council,1711
2279,70 years,Kilkenny County Council,962
2280,70 years,Laois County Council,740
2281,70 years,Longford County Council,433
2282,70 years,Louth County Council,1089
2283,70 years,Meath County Council,1492
2284,70 years,Offaly County Council,735
2285,70 years,Westmeath County Council,765
2286,70 years,Wexford County Council,1528
2287,70 years,Wicklow County Council,1310
2288,70 years,Clare County Council,1230
2289,70 years,Cork City Council,1791
2290,70 years,Cork County Council,3167
2291,70 years,Kerry County Council,1692
2292,70 years,Limerick City & County Council,1924
2293,70 years,Tipperary County Council,1637
2294,70 years,Waterford City & County Council,1150
2295,70 years,Galway City Council,553
2296,70 years,Galway County Council,1763
2297,70 years,Leitrim County Council,370
2298,70 years,Mayo  County Council,1498
2299,70 years,Roscommon County Council,756
2300,70 years,Sligo County Council,690
2301,70 years,Cavan County Council,678
2302,70 years,Donegal County Council,1640
2303,70 years,Monaghan County Council,594
2304,71 years,Ireland,41685
2305,71 years,Carlow County Council,497
2306,71 years,Dublin City Council,3905
2307,71 years,Dún Laoghaire Rathdown County Council,1877
2308,71 years,Fingal County Council,1961
2309,71 years,South Dublin County Council,2419
2310,71 years,Kildare County Council,1682
2311,71 years,Kilkenny County Council,836
2312,71 years,Laois County Council,658
2313,71 years,Longford County Council,390
2314,71 years,Louth County Council,1030
2315,71 years,Meath County Council,1559
2316,71 years,Offaly County Council,710
2317,71 years,Westmeath County Council,735
2318,71 years,Wexford County Council,1484
2319,71 years,Wicklow County Council,1271
2320,71 years,Clare County Council,1191
2321,71 years,Cork City Council,1722
2322,71 years,Cork County Council,3086
2323,71 years,Kerry County Council,1652
2324,71 years,Limerick City & County Council,1849
2325,71 years,Tipperary County Council,1531
2326,71 years,Waterford City & County Council,1100
2327,71 years,Galway City Council,550
2328,71 years,Galway County Council,1762
2329,71 years,Leitrim County Council,373
2330,71 years,Mayo  County Council,1582
2331,71 years,Roscommon County Council,676
2332,71 years,Sligo County Council,735
2333,71 years,Cavan County Council,680
2334,71 years,Donegal County Council,1626
2335,71 years,Monaghan County Council,556
2336,72 years,Ireland,41124
2337,72 years,Carlow County Council,526
2338,72 years,Dublin City Council,3853
2339,72 years,Dún Laoghaire Rathdown County Council,1879
2340,72 years,Fingal County Council,2066
2341,72 years,South Dublin County Council,2358
2342,72 years,Kildare County Council,1666
2343,72 years,Kilkenny County Council,920
2344,72 years,Laois County Council,611
2345,72 years,Longford County Council,419
2346,72 years,Louth County Council,1050
2347,72 years,Meath County Council,1478
2348,72 years,Offaly County Council,697
2349,72 years,Westmeath County Council,741
2350,72 years,Wexford County Council,1498
2351,72 years,Wicklow County Council,1273
2352,72 years,Clare County Council,1241
2353,72 years,Cork City Council,1718
2354,72 years,Cork County Council,2931
2355,72 years,Kerry County Council,1569
2356,72 years,Limerick City & County Council,1810
2357,72 years,Tipperary County Council,1530
2358,72 years,Waterford City & County Council,1076
2359,72 years,Galway City Council,521
2360,72 years,Galway County Council,1673
2361,72 years,Leitrim County Council,366
2362,72 years,Mayo  County Council,1507
2363,72 years,Roscommon County Council,669
2364,72 years,Sligo County Council,686
2365,72 years,Cavan County Council,689
2366,72 years,Donegal County Council,1518
2367,72 years,Monaghan County Council,585
2368,73 years,Ireland,39255
2369,73 years,Carlow County Council,461
2370,73 years,Dublin City Council,3788
2371,73 years,Dún Laoghaire Rathdown County Council,1796
2372,73 years,Fingal County Council,1941
2373,73 years,South Dublin County Council,2139
2374,73 years,Kildare County Council,1584
2375,73 years,Kilkenny County Council,831
2376,73 years,Laois County Council,558
2377,73 years,Longford County Council,375
2378,73 years,Louth County Council,980
2379,73 years,Meath County Council,1460
2380,73 years,Offaly County Council,660
2381,73 years,Westmeath County Council,743
2382,73 years,Wexford County Council,1403
2383,73 years,Wicklow County Council,1284
2384,73 years,Clare County Council,1113
2385,73 years,Cork City Council,1601
2386,73 years,Cork County Council,2923
2387,73 years,Kerry County Council,1529
2388,73 years,Limerick City & County Council,1722
2389,73 years,Tipperary County Council,1479
2390,73 years,Waterford City & County Council,1068
2391,73 years,Galway City Council,547
2392,73 years,Galway County Council,1639
